Place	RIGOCode	RIGOCodeSt	RIGOCodeNo	RIGO2	RIGO	Code	Muni									
Forsyth County	GA03	GA	03	0	Georgia Mountains Regional Commission	13117	0									
Franklin County	GA03	GA	03	0	Georgia Mountains Regional Commission	13119	0									
Habersham County	GA03	GA	03	0	Georgia Mountains Regional Commission	13137	0									
Hall County	GA03	GA	03	0	Georgia Mountains Regional Commission	13139	0									
Hart County	GA03	GA	03	0	Georgia Mountains Regional Commission	13147	0									
Lumpkin County	GA03	GA	03	0	Georgia Mountains Regional Commission	13187	0									
Rabun County	GA03	GA	03	0	Georgia Mountains Regional Commission	13241	0									
Stephens County	GA03	GA	03	0	Georgia Mountains Regional Commission	13257	0									
Towns County	GA03	GA	03	0	Georgia Mountains Regional Commission	13281	0									
Union County	GA03	GA	03	0	Georgia Mountains Regional Commission	13291	0									
White County	GA03	GA	03	0	Georgia Mountains Regional Commission	13311	0									
Baker County	GA04	GA	04	0	Southwest Georgia Regional Commission	13007	0									
Calhoun County	GA04	GA	04	0	Southwest Georgia Regional Commission	13037	0									
Colquitt County	GA04	GA	04	0	Southwest Georgia Regional Commission	13071	0									
Decatur County	GA04	GA	04	0	Southwest Georgia Regional Commission	13087	0									
Dougherty County	GA04	GA	04	0	Southwest Georgia Regional Commission	13095	0									
Early County	GA04	GA	04	0	Southwest Georgia Regional Commission	13099	0									
Grady County	GA04	GA	04	0	Southwest Georgia Regional Commission	13131	0									
Lee County	GA04	GA	04	0	Southwest Georgia Regional Commission	13177	0									
Miller County	GA04	GA	04	0	Southwest Georgia Regional Commission	13201	0									
Mitchell County	GA04	GA	04	0	Southwest Georgia Regional Commission	13205	0									
Seminole County	GA04	GA	04	0	Southwest Georgia Regional Commission	13253	0									
Terrell County	GA04	GA	04	0	Southwest Georgia Regional Commission	13273	0									
Thomas County	GA04	GA	04	0	Southwest Georgia Regional Commission	13275	0									
Worth County	GA04	GA	04	0	Southwest Georgia Regional Commission	13321	0									
Butts County	GA05	GA	05	0	Three Rivers Regional Commission	13035	0									
Carroll County	GA05	GA	05	0	Three Rivers Regional Commission	13045	0									
Coweta County	GA05	GA	05	0	Three Rivers Regional Commission	13077	0									
Heard County	GA05	GA	05	0	Three Rivers Regional Commission	13149	0									
Lamar County	GA05	GA	05	0	Three Rivers Regional Commission	13171	0									
Meriwether County	GA05	GA	05	0	Three Rivers Regional Commission	13199	0									
Pike County	GA05	GA	05	0	Three Rivers Regional Commission	13231	0									
Spalding County	GA05	GA	05	0	Three Rivers Regional Commission	13255	0									
Troup County	GA05	GA	05	0	Three Rivers Regional Commission	13285	0									
Upson County	GA05	GA	05	0	Three Rivers Regional Commission	13293	0									
Barrow County	GA06	GA	06	0	Northeast Georgia Regional Commission	13013	0									
Clarke County	GA06	GA	06	0	Northeast Georgia Regional Commission	13059	0									
Elbert County	GA06	GA	06	0	Northeast Georgia Regional Commission	13105	0									
Greene County	GA06	GA	06	0	Northeast Georgia Regional Commission	13133	0									
Jackson County	GA06	GA	06	0	Northeast Georgia Regional Commission	13157	0									
Jasper County	GA06	GA	06	0	Northeast Georgia Regional Commission	13159	0									
Madison County	GA06	GA	06	0	Northeast Georgia Regional Commission	13195	0									
Morgan County	GA06	GA	06	0	Northeast Georgia Regional Commission	13211	0									
Newton County	GA06	GA	06	0	Northeast Georgia Regional Commission	13217	0									
Oconee County	GA06	GA	06	0	Northeast Georgia Regional Commission	13219	0									
Oglethorpe County	GA06	GA	06	0	Northeast Georgia Regional Commission	13221	0									
Walton County	GA06	GA	06	0	Northeast Georgia Regional Commission	13297	0									
Baldwin County	GA07	GA	07	0	Middle Georgia Planning Commission	13009	0									
Bibb County	GA07	GA	07	0	Middle Georgia Planning Commission	13021	0									
Crawford County	GA07	GA	07	0	Middle Georgia Planning Commission	13079	0									
Houston County	GA07	GA	07	0	Middle Georgia Planning Commission	13153	0									
Jones County	GA07	GA	07	0	Middle Georgia Planning Commission	13169	0									
Monroe County	GA07	GA	07	0	Middle Georgia Planning Commission	13207	0									
Peach County	GA07	GA	07	0	Middle Georgia Planning Commission	13225	0									
Pulaski County	GA07	GA	07	0	Middle Georgia Planning Commission	13235	0									
Putnam County	GA07	GA	07	0	Middle Georgia Planning Commission	13237	0									
Twiggs County	GA07	GA	07	0	Middle Georgia Planning Commission	13289	0									
Wilkinson County	GA07	GA	07	0	Middle Georgia Planning Commission	13319	0									
Burke County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13033	0									
Columbia County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13073	0									
Glascock County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13125	0									
Hancock County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13141	0									
Jefferson County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13163	0									
Jenkins County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13165	0									
Lincoln County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13181	0									
McDuffie County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13189	0									
Richmond County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13245	0									
Taliaferro County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13265	0									
Warren County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13301	0									
Washington County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13303	0									
Wilkes County	GA08	GA	08	0	Central Savannah River Area Regional Commission	13317	0									
Chattahoochee County	GA09	GA	09	0	River Valley Regional Commission	13053	0									
Clay County	GA09	GA	09	0	River Valley Regional Commission	13061	0									
Crisp County	GA09	GA	09	0	River Valley Regional Commission	13081	0									
Dooly County	GA09	GA	09	0	River Valley Regional Commission	13093	0									
Harris County	GA09	GA	09	0	River Valley Regional Commission	13145	0									
Macon County	GA09	GA	09	0	River Valley Regional Commission	13193	0									
Marion County	GA09	GA	09	0	River Valley Regional Commission	13197	0									
Muscogee County	GA09	GA	09	0	River Valley Regional Commission	13215	0									
Quitman County	GA09	GA	09	0	River Valley Regional Commission	13239	0									
Randolph County	GA09	GA	09	0	River Valley Regional Commission	13243	0									
Schley County	GA09	GA	09	0	River Valley Regional Commission	13249	0									
Stewart County	GA09	GA	09	0	River Valley Regional Commission	13259	0									
Sumter County	GA09	GA	09	0	River Valley Regional Commission	13261	0									
Talbot County	GA09	GA	09	0	River Valley Regional Commission	13263	0									
Taylor County	GA09	GA	09	0	River Valley Regional Commission	13269	0									
Webster County	GA09	GA	09	0	River Valley Regional Commission	13307	0									
Appling County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13001	0									
Bleckley County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13023	0									
Candler County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13043	0									
Dodge County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13091	0									
Emanuel County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13107	0									
Evans County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13109	0									
Jeff Davis County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13161	0									
Johnson County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13167	0									
Laurens County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13175	0									
Montgomery County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13209	0									
Tattnall County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13267	0									
Telfair County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13271	0									
Toombs County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13279	0									
Treutlen County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13283	0									
Wayne County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13305	0									
Wheeler County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13309	0									
Wilcox County	GA10	GA	10	0	Heart of Georgia Altamaha Regional Commission	13315	0									
Atkinson County	GA11	GA	11	0	Southern Georgia Regional Commission	13003	0									
Bacon County	GA11	GA	11	0	Southern Georgia Regional Commission	13005	0									
Ben Hill County	GA11	GA	11	0	Southern Georgia Regional Commission	13017	0									
Berrien County	GA11	GA	11	0	Southern Georgia Regional Commission	13019	0									
Brantley County	GA11	GA	11	0	Southern Georgia Regional Commission	13025	0									
Brooks County	GA11	GA	11	0	Southern Georgia Regional Commission	13027	0									
Charlton County	GA11	GA	11	0	Southern Georgia Regional Commission	13049	0									
Clinch County	GA11	GA	11	0	Southern Georgia Regional Commission	13065	0									
Coffee County	GA11	GA	11	0	Southern Georgia Regional Commission	13069	0									
Cook County	GA11	GA	11	0	Southern Georgia Regional Commission	13075	0									
Echols County	GA11	GA	11	0	Southern Georgia Regional Commission	13101	0									
Irwin County	GA11	GA	11	0	Southern Georgia Regional Commission	13155	0									
Lanier County	GA11	GA	11	0	Southern Georgia Regional Commission	13173	0									
Lowndes County	GA11	GA	11	0	Southern Georgia Regional Commission	13185	0									
Pierce County	GA11	GA	11	0	Southern Georgia Regional Commission	13229	0									
Tift County	GA11	GA	11	0	Southern Georgia Regional Commission	13277	0									
Turner County	GA11	GA	11	0	Southern Georgia Regional Commission	13287	0									
Ware County	GA11	GA	11	0	Southern Georgia Regional Commission	13299	0									
Bryan County	GA12	GA	12	0	Coastal Regional Commission	13029	0									
Bulloch County	GA12	GA	12	0	Coastal Regional Commission	13031	0									
Camden County	GA12	GA	12	0	Coastal Regional Commission	13039	0									
Chatham County	GA12	GA	12	0	Coastal Regional Commission	13051	0									
Effingham County	GA12	GA	12	0	Coastal Regional Commission	13103	0									
Glynn County	GA12	GA	12	0	Coastal Regional Commission	13127	0									
Liberty County	GA12	GA	12	0	Coastal Regional Commission	13179	0									
Long County	GA12	GA	12	0	Coastal Regional Commission	13183	0									
McIntosh County	GA12	GA	12	0	Coastal Regional Commission	13191	0									
Screven County	GA12	GA	12	0	Coastal Regional Commission	13251	0									
"Honolulu, City and County"	HI50	HI	50	0	Oahu Metropolian Planning Organization 	15003	0									
Maui County	HI51	HI	51	0	Maui MPO	15009	0									
Hawaii County	HI99	HI	99	0	Unattached	15001	0									
Kalawao County	HI99	HI	99	0	Unattached	15005	0									
Kauai County	HI99	HI	99	0	Unattached	15007	0									
Davis County	IA01	IA	01	0	Area 15 Regional Planning Commission	19051	0									
Jefferson County	IA01	IA	01	0	Area 15 Regional Planning Commission	19101	0									
Keokuk County	IA01	IA	01	0	Area 15 Regional Planning Commission	19107	0									
Mahaska County	IA01	IA	01	0	Area 15 Regional Planning Commission	19123	0									
Van Buren County	IA01	IA	01	0	Area 15 Regional Planning Commission	19177	0									
Wapello County	IA01	IA	01	0	Area 15 Regional Planning Commission	19179	0									
Henry County	IA02	IA	02	0	Bi-State Regional Commission	17073	0									
Mercer County	IA02	IA	02	0	Bi-State Regional Commission	17131	0									
Rock Island County	IA02	IA	02	0	Bi-State Regional Commission	17161	0									
Muscatine County	IA02	IA	02	0	Bi-State Regional Commission	19139	0									
Scott County	IA02	IA	02	0	Bi-State Regional Commission	19163	0									
Appanoose County	IA03	IA	03	0	Chariton Valley Planning & Development Council of Governments	19007	0									
Lucas County	IA03	IA	03	0	Chariton Valley Planning & Development Council of Governments	19117	0									
Monroe County	IA03	IA	03	0	Chariton Valley Planning & Development Council of Governments	19135	0									
Wayne County	IA03	IA	03	0	Chariton Valley Planning & Development Council of Governments	19185	0									
Cedar County	IA04	IA	04	0	East Central Intergovernmental Association	19031	0									
Clinton County	IA04	IA	04	0	East Central Intergovernmental Association	19045	0									
Delaware County	IA04	IA	04	0	East Central Intergovernmental Association	19055	0									
Dubuque County	IA04	IA	04	0	East Central Intergovernmental Association	19061	0									
Jackson County	IA04	IA	04	0	East Central Intergovernmental Association	19097	0									
Benton County	IA05	IA	05	0	East Central Iowa Council of Governments	19011	0									
Iowa County	IA05	IA	05	0	East Central Iowa Council of Governments	19095	0									
Johnson County	IA05	IA	05	0	East Central Iowa Council of Governments	19103	0									
Jones County	IA05	IA	05	0	East Central Iowa Council of Governments	19105	0									
Linn County	IA05	IA	05	0	East Central Iowa Council of Governments	19113	0									
Tama County	IA05	IA	05	0	East Central Iowa Council of Governments	19171	0									
Washington County	IA05	IA	05	0	East Central Iowa Council of Governments	19183	0									
Black Hawk County	IA06	IA	06	0	Iowa Northland Regional Council of Governments	19013	0									
Bremer County	IA06	IA	06	0	Iowa Northland Regional Council of Governments	19017	0									
Buchanan County	IA06	IA	06	0	Iowa Northland Regional Council of Governments	19019	0									
Butler County	IA06	IA	06	0	Iowa Northland Regional Council of Governments	19023	0									
Chickasaw County	IA06	IA	06	0	Iowa Northland Regional Council of Governments	19037	0									
Grundy County	IA06	IA	06	0	Iowa Northland Regional Council of Governments	19075	0									
Calhoun County	IA07	IA	07	0	MIDAS Council of Governments	19025	0									
Hamilton County	IA07	IA	07	0	MIDAS Council of Governments	19079	0									
Humboldt County	IA07	IA	07	0	MIDAS Council of Governments	19091	0									
Pocahontas County	IA07	IA	07	0	MIDAS Council of Governments	19151	0									
Webster County	IA07	IA	07	0	MIDAS Council of Governments	19187	0									
Wright County	IA07	IA	07	0	MIDAS Council of Governments	19197	0									
Cerro Gordo County	IA08	IA	08	0	North Iowa Area Council of Governments	19033	0									
Floyd County	IA08	IA	08	0	North Iowa Area Council of Governments	19067	0									
Franklin County	IA08	IA	08	0	North Iowa Area Council of Governments	19069	0									
Hancock County	IA08	IA	08	0	North Iowa Area Council of Governments	19081	0									
Kossuth County	IA08	IA	08	0	North Iowa Area Council of Governments	19109	0									
Mitchell County	IA08	IA	08	0	North Iowa Area Council of Governments	19131	0									
Winnebago County	IA08	IA	08	0	North Iowa Area Council of Governments	19189	0									
Worth County	IA08	IA	08	0	North Iowa Area Council of Governments	19195	0									
Buena Vista County	IA09	IA	09	0	Northwest Iowa Planning and Development Commission	19021	0									
Clay County	IA09	IA	09	0	Northwest Iowa Planning and Development Commission	19041	0									
Dickinson County	IA09	IA	09	0	Northwest Iowa Planning and Development Commission	19059	0									
Emmet County	IA09	IA	09	0	Northwest Iowa Planning and Development Commission	19063	0									
Lyon County	IA09	IA	09	0	Northwest Iowa Planning and Development Commission	19119	0									
O'Brien County	IA09	IA	09	0	Northwest Iowa Planning and Development Commission	19141	0									
Osceola County	IA09	IA	09	0	Northwest Iowa Planning and Development Commission	19143	0									
Palo Alto County	IA09	IA	09	0	Northwest Iowa Planning and Development Commission	19147	0									
Sioux County	IA09	IA	09	0	Northwest Iowa Planning and Development Commission	19167	0									
Hardin County	IA10	IA	10	0	Region 6 Planning Commission	19083	0									
Marshall County	IA10	IA	10	0	Region 6 Planning Commission	19127	0									
Poweshiek County	IA10	IA	10	0	Region 6 Planning Commission	19157	0									
Audubon County	IA11	IA	11	0	Region XII Council of Governments	19009	0									
Carroll County	IA11	IA	11	0	Region XII Council of Governments	19027	0									
Crawford County	IA11	IA	11	0	Region XII Council of Governments	19047	0									
Dallas County	IA11	IA	11	0	Region XII Council of Governments	19049	0									
Greene County	IA11	IA	11	0	Region XII Council of Governments	19073	0									
Guthrie County	IA11	IA	11	0	Region XII Council of Governments	19077	0									
Sac County	IA11	IA	11	0	Region XII Council of Governments	19161	0									
Cherokee County	IA12	IA	12	0	Siouxland Interstate Metropolitan Planning Council	19035	0									
Ida County	IA12	IA	12	0	Siouxland Interstate Metropolitan Planning Council	19093	0									
Monona County	IA12	IA	12	0	Siouxland Interstate Metropolitan Planning Council	19133	0									
Plymouth County	IA12	IA	12	0	Siouxland Interstate Metropolitan Planning Council	19149	0									
Woodbury County	IA12	IA	12	0	Siouxland Interstate Metropolitan Planning Council	19193	0									
Dakota County	IA12	IA	12	0	Siouxland Interstate Metropolitan Planning Council	31043	0									
Des Moines County	IA13	IA	13	0	Southeast Iowa Regional Planning Commission	19057	0									
Henry County	IA13	IA	13	0	Southeast Iowa Regional Planning Commission	19087	0									
Lee County	IA13	IA	13	0	Southeast Iowa Regional Planning Commission	19111	0									
Louisa County	IA13	IA	13	0	Southeast Iowa Regional Planning Commission	19115	0									
Adams County	IA14	IA	14	0	Southern Iowa Council of Governments	19003	0									
Clarke County	IA14	IA	14	0	Southern Iowa Council of Governments	19039	0									
Decatur County	IA14	IA	14	0	Southern Iowa Council of Governments	19053	0									
Madison County	IA14	IA	14	0	Southern Iowa Council of Governments	19121	0									
Ringgold County	IA14	IA	14	0	Southern Iowa Council of Governments	19159	0									
Taylor County	IA14	IA	14	0	Southern Iowa Council of Governments	19173	0									
Union County	IA14	IA	14	0	Southern Iowa Council of Governments	19175	0									
Adair County	IA14	IA	14	0	Southern Iowa Council of Governments	19001	0									
Cass County	IA15	IA	15	0	Southwest Iowa Planning Council	19029	0									
Fremont County	IA15	IA	15	0	Southwest Iowa Planning Council	19071	0									
Harrison County	IA15	IA	15	0	Southwest Iowa Planning Council	19085	0									
Montgomery County	IA15	IA	15	0	Southwest Iowa Planning Council	19137	0									
Page County	IA15	IA	15	0	Southwest Iowa Planning Council	19145	0									
Shelby County	IA15	IA	15	0	Southwest Iowa Planning Council	19165	0									
Allamakee County	IA16	IA	16	0	Upper Explorerland Regional Planning Commission	19005	0									
Clayton County	IA16	IA	16	0	Upper Explorerland Regional Planning Commission	19043	0									
Fayette County	IA16	IA	16	0	Upper Explorerland Regional Planning Commission	19065	0									
Howard County	IA16	IA	16	0	Upper Explorerland Regional Planning Commission	19089	0									
Winneshiek County	IA16	IA	16	0	Upper Explorerland Regional Planning Commission	19191	0									
Polk County	IA50	IA	50	0	Des Moines Area MPO	19153	0									
Warren County	IA50	IA	50	0	Des Moines Area MPO	19181	0									
Story County	IA51	IA	51	0	Ames Area MPO	19169	0									
Boone County	IA99	IA	99	0	Unattached	19015	0									
Jasper County	IA99	IA	99	0	Unattached	19099	0									
Marion County	IA99	IA	99	0	Unattached	19125	0									
Ada County	ID01	ID	01	0	Community Planning Association of Southwest Idaho	16001	0									
Canyon County	ID01	ID	01	0	Community Planning Association of Southwest Idaho	16027	0									
Bannock County	ID02	ID	02	0	Southeast Idaho Council of Governments	16005	0									
Bear Lake County	ID02	ID	02	0	Southeast Idaho Council of Governments	16007	0									
Bingham County	ID02	ID	02	0	Southeast Idaho Council of Governments	16011	0									
Caribou County	ID02	ID	02	0	Southeast Idaho Council of Governments	16029	0									
Franklin County	ID02	ID	02	0	Southeast Idaho Council of Governments	16041	0									
Oneida County	ID02	ID	02	0	Southeast Idaho Council of Governments	16071	0									
Power County	ID02	ID	02	0	Southeast Idaho Council of Governments	16077	0									
Bonneville County	ID03	ID	03	0	East Central Planning and Development Association	16019	0									
Butte County	ID03	ID	03	0	East Central Planning and Development Association	16023	0									
Clark County	ID03	ID	03	0	East Central Planning and Development Association	16033	0									
Custer County	ID03	ID	03	0	East Central Planning and Development Association	16037	0									
Fremont County	ID03	ID	03	0	East Central Planning and Development Association	16043	0									
Jefferson County	ID03	ID	03	0	East Central Planning and Development Association	16051	0									
Lemhi County	ID03	ID	03	0	East Central Planning and Development Association	16059	0									
Madison County	ID03	ID	03	0	East Central Planning and Development Association	16065	0									
Teton County	ID03	ID	03	0	East Central Planning and Development Association	16081	0									
Benewah County	ID04	ID	04	0	Panhandle Area Council	16009	0									
Bonner County	ID04	ID	04	0	Panhandle Area Council	16017	0									
Boundary County	ID04	ID	04	0	Panhandle Area Council	16021	0									
Kootenai County	ID04	ID	04	0	Panhandle Area Council	16055	0									
Shoshone County	ID04	ID	04	0	Panhandle Area Council	16079	0									
Clearwater County	ID05	ID	05	0	Clearwater Economic Development Association	16035	0									
Idaho County	ID05	ID	05	0	Clearwater Economic Development Association	16049	0									
Latah County	ID05	ID	05	0	Clearwater Economic Development Association	16057	0									
Lewis County	ID05	ID	05	0	Clearwater Economic Development Association	16061	0									
Nez Perce County	ID05	ID	05	0	Clearwater Economic Development Association	16069	0									
Blaine County	ID06	ID	06	0	Region IV Development Association	16013	0									
Camas County	ID06	ID	06	0	Region IV Development Association	16025	0									
Cassia County	ID06	ID	06	0	Region IV Development Association	16031	0									
Gooding County	ID06	ID	06	0	Region IV Development Association	16047	0									
Jerome County	ID06	ID	06	0	Region IV Development Association	16053	0									
Lincoln County	ID06	ID	06	0	Region IV Development Association	16063	0									
Minidoka County	ID06	ID	06	0	Region IV Development Association	16067	0									
Twin Falls County	ID06	ID	06	0	Region IV Development Association	16083	0									
Adams County	ID99	ID	99	0	Unattached	16003	0									
Boise County	ID99	ID	99	0	Unattached	16015	0									
Elmore County	ID99	ID	99	0	Unattached	16039	0									
Gem County	ID99	ID	99	0	Unattached	16045	0									
Owyhee County	ID99	ID	99	0	Unattached	16073	0									
Payette County	ID99	ID	99	0	Unattached	16075	0									
Valley County	ID99	ID	99	0	Unattached	16085	0									
Washington County	ID99	ID	99	0	Unattached	16087	0									
Cook County	IL01	IL	01	0	Chicago Metropolitan Agency for Planning	17031	0									
DuPage County	IL01	IL	01	0	Chicago Metropolitan Agency for Planning	17043	0									
Kane County	IL01	IL	01	0	Chicago Metropolitan Agency for Planning	17089	0									
Kendall County	IL01	IL	01	0	Chicago Metropolitan Agency for Planning	17093	0									
Lake County	IL01	IL	01	0	Chicago Metropolitan Agency for Planning	17097	0									
McHenry County	IL01	IL	01	0	Chicago Metropolitan Agency for Planning	17111	0									
Will County	IL01	IL	01	0	Chicago Metropolitan Agency for Planning	17197	0									
Fulton County	IL02	IL	02	0	Western Illinois Regional Council	17057	0									
Hancock County	IL02	IL	02	0	Western Illinois Regional Council	17067	0									
Henderson County	IL02	IL	02	0	Western Illinois Regional Council	17071	0									
Knox County	IL02	IL	02	0	Western Illinois Regional Council	17095	0									
McDonough County	IL02	IL	02	0	Western Illinois Regional Council	17109	0									
Warren County	IL02	IL	02	0	Western Illinois Regional Council	17187	0									
Bureau County	IL03	IL	03	0	North Central Illinois Council of Governments	17011	0									
Grundy County	IL03	IL	03	0	North Central Illinois Council of Governments	17063	0									
LaSalle County	IL03	IL	03	0	North Central Illinois Council of Governments	17099	0									
Marshall County	IL03	IL	03	0	North Central Illinois Council of Governments	17123	0									
Putnam County	IL03	IL	03	0	North Central Illinois Council of Governments	17155	0									
Stark County	IL03	IL	03	0	North Central Illinois Council of Governments	17175	0									
Carroll County	IL04	IL	04	0	Blackhawk Hills Regional Council	17015	0									
Jo Daviess County	IL04	IL	04	0	Blackhawk Hills Regional Council	17085	0									
Lee County	IL04	IL	04	0	Blackhawk Hills Regional Council	17103	0									
Ogle County	IL04	IL	04	0	Blackhawk Hills Regional Council	17141	0									
Stephenson County	IL04	IL	04	0	Blackhawk Hills Regional Council	17177	0									
Whiteside County	IL04	IL	04	0	Blackhawk Hills Regional Council	17195	0									
Adams County	IL05	IL	05	0	Two Rivers Regional Council of Public Officials	17001	0									
Brown County	IL05	IL	05	0	Two Rivers Regional Council of Public Officials	17009	0									
Pike County	IL05	IL	05	0	Two Rivers Regional Council of Public Officials	17149	0									
Schuyler County	IL05	IL	05	0	Two Rivers Regional Council of Public Officials	17169	0									
Peoria County	IL06	IL	06	0	Tri-County Regional Planning Commission	17143	0									
Tazewell County	IL06	IL	06	0	Tri-County Regional Planning Commission	17179	0									
Woodford County	IL06	IL	06	0	Tri-County Regional Planning Commission	17203	0									
Gallatin County	IL07	IL	07	0	Southeastern Illinois Regional Planning and Development Commission	17059	0									
Hamilton County	IL07	IL	07	0	Southeastern Illinois Regional Planning and Development Commission	17065	0									
Hardin County	IL07	IL	07	0	Southeastern Illinois Regional Planning and Development Commission	17069	0									
Pope County	IL07	IL	07	0	Southeastern Illinois Regional Planning and Development Commission	17151	0									
Saline County	IL07	IL	07	0	Southeastern Illinois Regional Planning and Development Commission	17165	0									
Crawford County	IL08	IL	08	0	Greater Wabash Regional Planning Commission	17033	0									
Edwards County	IL08	IL	08	0	Greater Wabash Regional Planning Commission	17047	0									
Lawrence County	IL08	IL	08	0	Greater Wabash Regional Planning Commission	17101	0									
Richland County	IL08	IL	08	0	Greater Wabash Regional Planning Commission	17159	0									
Wabash County	IL08	IL	08	0	Greater Wabash Regional Planning Commission	17185	0									
Wayne County	IL08	IL	08	0	Greater Wabash Regional Planning Commission	17191	0									
White County	IL08	IL	08	0	Greater Wabash Regional Planning Commission	17193	0									
Clay County	IL09	IL	09	0	South Central Illinois Regional Planning and Development Commission	17025	0									
Effingham County	IL09	IL	09	0	South Central Illinois Regional Planning and Development Commission	17049	0									
Fayette County	IL09	IL	09	0	South Central Illinois Regional Planning and Development Commission	17051	0									
Jasper County	IL09	IL	09	0	South Central Illinois Regional Planning and Development Commission	17079	0									
Marion County	IL09	IL	09	0	South Central Illinois Regional Planning and Development Commission	17121	0									
Champaign County	IL10	IL	10	0	Champaign County Regional Planning Commission	17019	0									
Douglas County	IL10	IL	10	0	Champaign County Regional Planning Commission	17041	0									
Ford County	IL10	IL	10	0	Champaign County Regional Planning Commission	17053	0									
Iroquois County	IL10	IL	10	0	Champaign County Regional Planning Commission	17075	0									
Piatt County	IL10	IL	10	0	Champaign County Regional Planning Commission	17147	0									
Vermilion County	IL10	IL	10	0	Champaign County Regional Planning Commission	17183	0									
Alexander County	IL11	IL	11	0	Southern Five Regional Planning District and Development Commission	17003	0									
Johnson County	IL11	IL	11	0	Southern Five Regional Planning District and Development Commission	17087	0									
Massac County	IL11	IL	11	0	Southern Five Regional Planning District and Development Commission	17127	0									
Pulaski County	IL11	IL	11	0	Southern Five Regional Planning District and Development Commission	17153	0									
Union County	IL11	IL	11	0	Southern Five Regional Planning District and Development Commission	17181	0									
Sangamon County	IL12	IL	12	0	Springfield-Sangamon Regional Planning Commission	17167	0									
McLean County	IL13	IL	13	0	Mclean County Regional Planning Commission	17113	0									
Franklin County	IL14	IL	14	0	Greater Egypt Regional Planning and Development Commission	17055	0									
Jackson County	IL14	IL	14	0	Greater Egypt Regional Planning and Development Commission	17077	0									
Jefferson County	IL14	IL	14	0	Greater Egypt Regional Planning and Development Commission	17081	0									
Perry County	IL14	IL	14	0	Greater Egypt Regional Planning and Development Commission	17145	0									
Williamson County	IL14	IL	14	0	Greater Egypt Regional Planning and Development Commission	17199	0									
Boone County	IL15	IL	15	0	Rockford Metropolitan Agency for Planning	17007	0									
Winnebago County	IL15	IL	15	0	Rockford Metropolitan Agency for Planning	17201	0									
DeKalb County	IL50	IL	50	0	DeKalb Sycamore Area Transportation Study	17037	0									
Kankakee County	IL51	IL	51	0	Kankakee County Regional Planning Commission	17091	0									
Macon County	IL52	IL	52	0	Decatur Urbanized Area Transportation Study	17115	0									
Bond County	IL99	IL	99	0	Unattached	17005	0									
Calhoun County	IL99	IL	99	0	Unattached	17013	0									
Cass County	IL99	IL	99	0	Unattached	17017	0									
Christian County	IL99	IL	99	0	Unattached	17021	0									
Clark County	IL99	IL	99	0	Unattached	17023	0									
Clinton County	IL99	IL	99	0	Unattached	17027	0									
Coles County	IL99	IL	99	0	Unattached	17029	0									
Cumberland County	IL99	IL	99	0	Unattached	17035	0									
De Witt County	IL99	IL	99	0	Unattached	17039	0									
Edgar County	IL99	IL	99	0	Unattached	17045	0									
Greene County	IL99	IL	99	0	Unattached	17061	0									
Jersey County	IL99	IL	99	0	Unattached	17083	0									
Livingston County	IL99	IL	99	0	Unattached	17105	0									
Logan County	IL99	IL	99	0	Unattached	17107	0									
Macoupin County	IL99	IL	99	0	Unattached	17117	0									
Mason County	IL99	IL	99	0	Unattached	17125	0									
Menard County	IL99	IL	99	0	Unattached	17129	0									
Montgomery County	IL99	IL	99	0	Unattached	17135	0									
Morgan County	IL99	IL	99	0	Unattached	17137	0									
Moultrie County	IL99	IL	99	0	Unattached	17139	0									
Randolph County	IL99	IL	99	0	Unattached	17157	0									
Scott County	IL99	IL	99	0	Unattached	17171	0									
Shelby County	IL99	IL	99	0	Unattached	17173	0									
