Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,,,,,,,,,
Porter,IN07,IN,07,0,Northwestern Indiana Regional Planning Commission,18127,0,,,,,,,,,
Huntington,IN08,IN,08,0,Regiona III-A Economic Dev District and Regional Planning Commission,18069,0,,,,,,,,,
LaGrange,IN08,IN,08,0,Regiona III-A Economic Dev District and Regional Planning Commission,18087,0,,,,,,,,,
Noble,IN08,IN,08,0,Regiona III-A Economic Dev District and Regional Planning Commission,18113,0,,,,,,,,,
Steuben,IN08,IN,08,0,Regiona III-A Economic Dev District and Regional Planning Commission,18151,0,,,,,,,,,
Wabash,IN08,IN,08,0,Regiona III-A Economic Dev District and Regional Planning Commission,18169,0,,,,,,,,,
Whitley,IN08,IN,08,0,Regiona III-A Economic Dev District and Regional Planning Commission,18183,0,,,,,,,,,
Decatur,IN09,IN,09,0,Southeastern Indiana Regional Planning Commission,18031,0,,,,,,,,,
Franklin,IN09,IN,09,0,Southeastern Indiana Regional Planning Commission,18047,0,,,,,,,,,
Jefferson,IN09,IN,09,0,Southeastern Indiana Regional Planning Commission,18077,0,,,,,,,,,
Jennings,IN09,IN,09,0,Southeastern Indiana Regional Planning Commission,18079,0,,,,,,,,,
Ohio,IN09,IN,09,0,Southeastern Indiana Regional Planning Commission,18115,0,,,,,,,,,
Ripley,IN09,IN,09,0,Southeastern Indiana Regional Planning Commission,18137,0,,,,,,,,,
Shelby,IN09,IN,09,0,Southeastern Indiana Regional Planning Commission,18145,0,,,,,,,,,
Switzerland,IN09,IN,09,0,Southeastern Indiana Regional Planning Commission,18155,0,,,,,,,,,
Daviess,IN10,IN,10,0,Southern Indiana Economic Development Commission,18027,0,,,,,,,,,
Greene,IN10,IN,10,0,Southern Indiana Economic Development Commission,18055,0,,,,,,,,,
Knox,IN10,IN,10,0,Southern Indiana Economic Development Commission,18083,0,,,,,,,,,
Lawrence,IN10,IN,10,0,Southern Indiana Economic Development Commission,18093,0,,,,,,,,,
Martin,IN10,IN,10,0,Southern Indiana Economic Development Commission,18101,0,,,,,,,,,
Clay,IN11,IN,11,0,West Central Indiana Economic Development District,18021,0,,,,,,,,,
Parke,IN11,IN,11,0,West Central Indiana Economic Development District,18121,0,,,,,,,,,
Putnam,IN11,IN,11,0,West Central Indiana Economic Development District,18133,0,,,,,,,,,
Sullivan,IN11,IN,11,0,West Central Indiana Economic Development District,18153,0,,,,,,,,,
Vermillion,IN11,IN,11,0,West Central Indiana Economic Development District,18165,0,,,,,,,,,
Vigo,IN11,IN,11,0,West Central Indiana Economic Development District,18167,0,,,,,,,,,
Cass,IN12,IN,12,0,North Central Indiana Regional Planning Council,18017,0,,,,,,,,,
Fulton,IN12,IN,12,0,North Central Indiana Regional Planning Council,18049,0,,,,,,,,,
Howard,IN12,IN,12,0,North Central Indiana Regional Planning Council,18067,0,,,,,,,,,
Miami,IN12,IN,12,0,North Central Indiana Regional Planning Council,18103,0,,,,,,,,,
Tipton,IN12,IN,12,0,North Central Indiana Regional Planning Council,18159,0,,,,,,,,,
Tippecanoe,IN13,IN,13,0,Area Plan Commission of Tippecanoe County,18157,0,,,,,,,,,
Harrison,IN14,IN,14,0,River Hills Economic Development District and Regional Planning Commission,18061,0,,,,,,,,,
Scott,IN14,IN,14,0,River Hills Economic Development District and Regional Planning Commission,18143,0,,,,,,,,,
Washington,IN14,IN,14,0,River Hills Economic Development District and Regional Planning Commission,18175,0,,,,,,,,,
Fayette,IN15,IN,15,0,Eastern Indiana Planning Commission,18041,0,,,,,,,,,
Randolph,IN15,IN,15,0,Eastern Indiana Planning Commission,18135,0,,,,,,,,,
Rush,IN15,IN,15,0,Eastern Indiana Planning Commission,18139,0,,,,,,,,,
Union,IN15,IN,15,0,Eastern Indiana Planning Commission,18161,0,,,,,,,,,
Wayne,IN15,IN,15,0,Eastern Indiana Planning Commission,18177,0,,,,,,,,,
Gibson,IN16,IN,16,0,Economic Development Coalition of SW Indiana,18051,0,,,,,,,,,
Posey,IN16,IN,16,0,Economic Development Coalition of SW Indiana,18129,0,,,,,,,,,
Vanderburgh,IN16,IN,16,0,Economic Development Coalition of SW Indiana,18163,0,,,,,,,,,
Warrick,IN16,IN,16,0,Economic Development Coalition of SW Indiana,18173,0,,,,,,,,,
Boone,IN50,IN,50,0,Indianapolis Metropolitan Planning Organization,18011,0,,,,,,,,,
Hamilton,IN50,IN,50,0,Indianapolis Metropolitan Planning Organization,18057,0,,,,,,,,,
Hancock,IN50,IN,50,0,Indianapolis Metropolitan Planning Organization,18059,0,,,,,,,,,
Hendricks,IN50,IN,50,0,Indianapolis Metropolitan Planning Organization,18063,0,,,,,,,,,
Johnson,IN50,IN,50,0,Indianapolis Metropolitan Planning Organization,18081,0,,,,,,,,,
Marion,IN50,IN,50,0,Indianapolis Metropolitan Planning Organization,18097,0,,,,,,,,,
Morgan,IN50,IN,50,0,Indianapolis Metropolitan Planning Organization,18109,0,,,,,,,,,
Bartholomew,IN51,IN,51,0,Columbus Area MPO,18005,0,,,,,,,,,
Monroe,IN52,IN,52,0,Bloomington/Monroe County MPO,18105,0,,,,,,,,,
Brown,IN99,IN,99,0,Unattached,18013,0,,,,,,,,,
Clinton,IN99,IN,99,0,Unattached,18023,0,,,,,,,,,
Fountain,IN99,IN,99,0,Unattached,18045,0,,,,,,,,,
Jackson,IN99,IN,99,0,Unattached,18071,0,,,,,,,,,
Montgomery,IN99,IN,99,0,Unattached,18107,0,,,,,,,,,
Owen,IN99,IN,99,0,Unattached,18119,0,,,,,,,,,
Johnson,KS01,KS,01,0,Mid-America Regional Council,20091,0,,,,,,,,,
Leavenworth,KS01,KS,01,0,Mid-America Regional Council,20103,0,,,,,,,,,
Miami,KS01,KS,01,0,Mid-America Regional Council,20121,0,,,,,,,,,
Wyandotte,KS01,KS,01,0,Mid-America Regional Council,20209,0,,,,,,,,,
Cass,KS01,KS,01,0,Mid-America Regional Council,29037,0,,,,,,,,,
Clay,KS01,KS,01,0,Mid-America Regional Council,29047,0,,,,,,,,,
Jackson,KS01,KS,01,0,Mid-America Regional Council,29095,0,,,,,,,,,
Platte,KS01,KS,01,0,Mid-America Regional Council,29165,0,,,,,,,,,
Ray,KS01,KS,01,0,Mid-America Regional Council,29177,0,,,,,,,,,
Clay,KS02,KS,02,0,North Central Regional Planning Commission,20027,0,,,,,,,,,
Cloud,KS02,KS,02,0,North Central Regional Planning Commission,20029,0,,,,,,,,,
Dickinson,KS02,KS,02,0,North Central Regional Planning Commission,20041,0,,,,,,,,,
Ellsworth,KS02,KS,02,0,North Central Regional Planning Commission,20053,0,,,,,,,,,
Jewell,KS02,KS,02,0,North Central Regional Planning Commission,20089,0,,,,,,,,,
Lincoln,KS02,KS,02,0,North Central Regional Planning Commission,20105,0,,,,,,,,,
Marshall,KS02,KS,02,0,North Central Regional Planning Commission,20117,0,,,,,,,,,
Mitchell,KS02,KS,02,0,North Central Regional Planning Commission,20123,0,,,,,,,,,
Ottawa,KS02,KS,02,0,North Central Regional Planning Commission,20143,0,,,,,,,,,
Republic,KS02,KS,02,0,North Central Regional Planning Commission,20157,0,,,,,,,,,
Saline,KS02,KS,02,0,North Central Regional Planning Commission,20169,0,,,,,,,,,
Washington,KS02,KS,02,0,North Central Regional Planning Commission,20201,0,,,,,,,,,
Butler,KS03,KS,03,0,South Central Kansas Economic Development District,20015,0,,,,,,,,,
Chautauqua,KS03,KS,03,0,South Central Kansas Economic Development District,20019,0,,,,,,,,,
Cowley,KS03,KS,03,0,South Central Kansas Economic Development District,20035,0,,,,,,,,,
Elk,KS03,KS,03,0,South Central Kansas Economic Development District,20049,0,,,,,,,,,
Greenwood,KS03,KS,03,0,South Central Kansas Economic Development District,20073,0,,,,,,,,,
Harper,KS03,KS,03,0,South Central Kansas Economic Development District,20077,0,,,,,,,,,
Harvey,KS03,KS,03,0,South Central Kansas Economic Development District,20079,0,,,,,,,,,
Kingman,KS03,KS,03,0,South Central Kansas Economic Development District,20095,0,,,,,,,,,
McPherson,KS03,KS,03,0,South Central Kansas Economic Development District,20113,0,,,,,,,,,
Marion,KS03,KS,03,0,South Central Kansas Economic Development District,20115,0,,,,,,,,,
Reno,KS03,KS,03,0,South Central Kansas Economic Development District,20155,0,,,,,,,,,
Rice,KS03,KS,03,0,South Central Kansas Economic Development District,20159,0,,,,,,,,,
Sedgwick,KS03,KS,03,0,South Central Kansas Economic Development District,20173,0,,,,,,,,,
Sumner,KS03,KS,03,0,South Central Kansas Economic Development District,20191,0,,,,,,,,,
Allen,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20001,0,,,,,,,,,
Anderson,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20003,0,,,,,,,,,
Bourbon,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20011,0,,,,,,,,,
Cherokee,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20021,0,,,,,,,,,
Coffey,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20031,0,,,,,,,,,
Crawford,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20037,0,,,,,,,,,
Labette,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20099,0,,,,,,,,,
Linn,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20107,0,,,,,,,,,
Montgomery,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20125,0,,,,,,,,,
Neosho,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20133,0,,,,,,,,,
Wilson,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20205,0,,,,,,,,,
Woodson,KS04,KS,04,0,Southeast Kansas Regional Planning Commission,20207,0,,,,,,,,,
Barber,KS05,KS,05,0,Great Plains Development Inc,20007,0,,,,,,,,,
Barton,KS05,KS,05,0,Great Plains Development Inc,20009,0,,,,,,,,,
Clark,KS05,KS,05,0,Great Plains Development Inc,20025,0,,,,,,,,,
Comanche,KS05,KS,05,0,Great Plains Development Inc,20033,0,,,,,,,,,
Edwards,KS05,KS,05,0,Great Plains Development Inc,20047,0,,,,,,,,,
Finney,KS05,KS,05,0,Great Plains Development Inc,20055,0,,,,,,,,,
Ford,KS05,KS,05,0,Great Plains Development Inc,20057,0,,,,,,,,,
Grant,KS05,KS,05,0,Great Plains Development Inc,20067,0,,,,,,,,,
Gray,KS05,KS,05,0,Great Plains Development Inc,20069,0,,,,,,,,,
Greeley,KS05,KS,05,0,Great Plains Development Inc,20071,0,,,,,,,,,
Hamilton,KS05,KS,05,0,Great Plains Development Inc,20075,0,,,,,,,,,
Haskell,KS05,KS,05,0,Great Plains Development Inc,20081,0,,,,,,,,,
Hodgeman,KS05,KS,05,0,Great Plains Development Inc,20083,0,,,,,,,,,
Kearny,KS05,KS,05,0,Great Plains Development Inc,20093,0,,,,,,,,,
Kiowa,KS05,KS,05,0,Great Plains Development Inc,20097,0,,,,,,,,,
Lane,KS05,KS,05,0,Great Plains Development Inc,20101,0,,,,,,,,,
Meade,KS05,KS,05,0,Great Plains Development Inc,20119,0,,,,,,,,,
Morton,KS05,KS,05,0,Great Plains Development Inc,20129,0,,,,,,,,,
Ness,KS05,KS,05,0,Great Plains Development Inc,20135,0,,,,,,,,,
Pawnee,KS05,KS,05,0,Great Plains Development Inc,20145,0,,,,,,,,,
Pratt,KS05,KS,05,0,Great Plains Development Inc,20151,0,,,,,,,,,
Rush,KS05,KS,05,0,Great Plains Development Inc,20165,0,,,,,,,,,
Scott,KS05,KS,05,0,Great Plains Development Inc,20171,0,,,,,,,,,
Seward,KS05,KS,05,0,Great Plains Development Inc,20175,0,,,,,,,,,
Stafford,KS05,KS,05,0,Great Plains Development Inc,20185,0,,,,,,,,,
Stanton,KS05,KS,05,0,Great Plains Development Inc,20187,0,,,,,,,,,
Stevens,KS05,KS,05,0,Great Plains Development Inc,20189,0,,,,,,,,,
Wichita,KS05,KS,05,0,Great Plains Development Inc,20203,0,,,,,,,,,
Cheyenne,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20023,0,,,,,,,,,
Decatur,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20039,0,,,,,,,,,
Ellis,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20051,0,,,,,,,,,
Gove,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20063,0,,,,,,,,,
Graham,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20065,0,,,,,,,,,
Logan,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20109,0,,,,,,,,,
Norton,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20137,0,,,,,,,,,
Osborne,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20141,0,,,,,,,,,
Phillips,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20147,0,,,,,,,,,
Rawlins,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20153,0,,,,,,,,,
Rooks,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20163,0,,,,,,,,,
Russell,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20167,0,,,,,,,,,
Sheridan,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20179,0,,,,,,,,,
Sherman,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20181,0,,,,,,,,,
Smith,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20183,0,,,,,,,,,
Thomas,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20193,0,,,,,,,,,
Trego,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20195,0,,,,,,,,,
Wallace,KS06,KS,06,0,Northwest Kansan Planning and Development Commission,20199,0,,,,,,,,,
Chase,KS07,KS,07,0,Flint Hills Economic Development District,20017,0,,,,,,,,,
Geary,KS07,KS,07,0,Flint Hills Economic Development District,20061,0,,,,,,,,,
Lyon,KS07,KS,07,0,Flint Hills Economic Development District,20111,0,,,,,,,,,
Morris,KS07,KS,07,0,Flint Hills Economic Development District,20127,0,,,,,,,,,
Pottawatomie,KS07,KS,07,0,Flint Hills Economic Development District,20149,0,,,,,,,,,
Riley,KS07,KS,07,0,Flint Hills Economic Development District,20161,0,,,,,,,,,
Wabaunsee,KS07,KS,07,0,Flint Hills Economic Development District,20197,0,,,,,,,,,
Douglas,KS50,KS,50,0,Lawrence-Douglas County Metropolitan Planning Office,20045,0,,,,,,,,,
Shawnee,KS51,KS,51,0,Metropolitan Topeka Planning Organization,20177,0,,,,,,,,,
Franklin,KS99,KS,99,0,Unattached,20059,0,,,,,,,,,
Jackson,KS99,KS,99,0,Unattached,20085,0,,,,,,,,,
Jefferson,KS99,KS,99,0,Unattached,20087,0,,,,,,,,,
Nemaha,KS99,KS,99,0,Unattached,20131,0,,,,,,,,,
Osage,KS99,KS,99,0,Unattached,20139,0,,,,,,,,,
Bullitt,KY01,KY,01,0,Kentuckiana Regional Development and Planning Commission,21029,0,,,,,,,,,
Henry,KY01,KY,01,0,Kentuckiana Regional Development and Planning Commission,21103,0,,,,,,,,,
Jefferson,KY01,KY,01,0,Kentuckiana Regional Development and Planning Commission,21111,0,,,,,,,,,
Oldham,KY01,KY,01,0,Kentuckiana Regional Development and Planning Commission,21185,0,,,,,,,,,
Shelby,KY01,KY,01,0,Kentuckiana Regional Development and Planning Commission,21211,0,,,,,,,,,
Spencer,KY01,KY,01,0,Kentuckiana Regional Development and Planning Commission,21215,0,,,,,,,,,
Trimble,KY01,KY,01,0,Kentuckiana Regional Development and Planning Commission,21223,0,,,,,,,,,
Allen,KY02,KY,02,0,Barren River Area Development District,21003,0,,,,,,,,,
Barren,KY02,KY,02,0,Barren River Area Development District,21009,0,,,,,,,,,
Butler,KY02,KY,02,0,Barren River Area Development District,21031,0,,,,,,,,,
Edmonson,KY02,KY,02,0,Barren River Area Development District,21061,0,,,,,,,,,
Hart,KY02,KY,02,0,Barren River Area Development District,21099,0,,,,,,,,,
Logan,KY02,KY,02,0,Barren River Area Development District,21141,0,,,,,,,,,
Metcalfe,KY02,KY,02,0,Barren River Area Development District,21169,0,,,,,,,,,
Monroe,KY02,KY,02,0,Barren River Area Development District,21171,0,,,,,,,,,
Simpson,KY02,KY,02,0,Barren River Area Development District,21213,0,,,,,,,,,
Warren,KY02,KY,02,0,Barren River Area Development District,21227,0,,,,,,,,,
Johnson,KY03,KY,03,0,Big Sandy Area Development District,21115,0,,,,,,,,,
Magoffin,KY03,KY,03,0,Big Sandy Area Development District,21153,0,,,,,,,,,
Martin,KY03,KY,03,0,Big Sandy Area Development District,21159,0,,,,,,,,,
Pike,KY03,KY,03,0,Big Sandy Area Development District,21195,0,,,,,,,,,
Anderson,KY04,KY,04,0,Bluegrass Area Development District,21005,0,,,,,,,,,
Bourbon,KY04,KY,04,0,Bluegrass Area Development District,21017,0,,,,,,,,,
Boyle,KY04,KY,04,0,Bluegrass Area Development District,21021,0,,,,,,,,,
Clark,KY04,KY,04,0,Bluegrass Area Development District,21049,0,,,,,,,,,
Estill,KY04,KY,04,0,Bluegrass Area Development District,21065,0,,,,,,,,,
Fayette,KY04,KY,04,0,Bluegrass Area Development District,21067,0,,,,,,,,,
Franklin,KY04,KY,04,0,Bluegrass Area Development District,21073,0,,,,,,,,,
Garrard,KY04,KY,04,0,Bluegrass Area Development District,21079,0,,,,,,,,,
Harrison,KY04,KY,04,0,Bluegrass Area Development District,21097,0,,,,,,,,,
Jessamine,KY04,KY,04,0,Bluegrass Area Development District,21113,0,,,,,,,,,
Lincoln,KY04,KY,04,0,Bluegrass Area Development District,21137,0,,,,,,,,,
Madison,KY04,KY,04,0,Bluegrass Area Development District,21151,0,,,,,,,,,
Mercer,KY04,KY,04,0,Bluegrass Area Development District,21167,0,,,,,,,,,
Nicholas,KY04,KY,04,0,Bluegrass Area Development District,21181,0,,,,,,,,,
Powell,KY04,KY,04,0,Bluegrass Area Development District,21197,0,,,,,,,,,
Scott,KY04,KY,04,0,Bluegrass Area Development District,21209,0,,,,,,,,,
Woodford,KY04,KY,04,0,Bluegrass Area Development District,21239,0,,,,,,,,,
Bracken,KY05,KY,05,0,Buffalo Trace Area Development District,21023,0,,,,,,,,,
Fleming,KY05,KY,05,0,Buffalo Trace Area Development District,21069,0,,,,,,,,,
Lewis,KY05,KY,05,0,Buffalo Trace Area Development District,21135,0,,,,,,,,,
Mason,KY05,KY,05,0,Buffalo Trace Area Development District,21161,0,,,,,,,,,
Robertson,KY05,KY,05,0,Buffalo Trace Area Development District,21201,0,,,,,,,,,
Bell,KY06,KY,06,0,Cumberland Valley Area Development District,21013,0,,,,,,,,,
Clay,KY06,KY,06,0,Cumberland Valley Area Development District,21051,0,,,,,,,,,
Harlan,KY06,KY,06,0,Cumberland Valley Area Development District,21095,0,,,,,,,,,
Jackson,KY06,KY,06,0,Cumberland Valley Area Development District,21109,0,,,,,,,,,
Knox,KY06,KY,06,0,Cumberland Valley Area Development District,21121,0,,,,,,,,,
Laurel,KY06,KY,06,0,Cumberland Valley Area Development District,21125,0,,,,,,,,,
Rockcastle,KY06,KY,06,0,Cumberland Valley Area Development District,21203,0,,,,,,,,,
Whitley,KY06,KY,06,0,Cumberland Valley Area Development District,21235,0,,,,,,,,,
Boyd,KY07,KY,07,0,Fivco Area Development District,21019,0,,,,,,,,,
Carter,KY07,KY,07,0,Fivco Area Development District,21043,0,,,,,,,,,
Elliott,KY07,KY,07,0,Fivco Area Development District,21063,0,,,,,,,,,
Greenup,KY07,KY,07,0,Fivco Area Development District,21089,0,,,,,,,,,
Lawrence,KY07,KY,07,0,Fivco Area Development District,21127,0,,,,,,,,,
Bath,KY08,KY,08,0,Gateway Area Development DIstrict,21011,0,,,,,,,,,
Menifee,KY08,KY,08,0,Gateway Area Development DIstrict,21165,0,,,,,,,,,
Montgomery,KY08,KY,08,0,Gateway Area Development DIstrict,21173,0,,,,,,,,,
Morgan,KY08,KY,08,0,Gateway Area Development DIstrict,21175,0,,,,,,,,,
Rowan,KY08,KY,08,0,Gateway Area Development DIstrict,21205,0,,,,,,,,,
Daviess,KY09,KY,09,0,Green River Area Development District,21059,0,,,,,,,,,
Hancock,KY09,KY,09,0,Green River Area Development District,21091,0,,,,,,,,,
Henderson,KY09,KY,09,0,Green River Area Development District,21101,0,,,,,,,,,
McLean,KY09,KY,09,0,Green River Area Development District,21149,0,,,,,,,,,
Ohio,KY09,KY,09,0,Green River Area Development District,21183,0,,,,,,,,,
Union,KY09,KY,09,0,Green River Area Development District,21225,0,,,,,,,,,
Webster,KY09,KY,09,0,Green River Area Development District,21233,0,,,,,,,,,
Breathitt,KY10,KY,10,0,Kentucky River Area Development District,21025,0,,,,,,,,,
Knott,KY10,KY,10,0,Kentucky River Area Development District,21119,0,,,,,,,,,
Lee,KY10,KY,10,0,Kentucky River Area Development District,21129,0,,,,,,,,,
Leslie,KY10,KY,10,0,Kentucky River Area Development District,21131,0,,,,,,,,,
Letcher,KY10,KY,10,0,Kentucky River Area Development District,21133,0,,,,,,,,,
Owsley,KY10,KY,10,0,Kentucky River Area Development District,21189,0,,,,,,,,,
Perry,KY10,KY,10,0,Kentucky River Area Development District,21193,0,,,,,,,,,
Wolfe,KY10,KY,10,0,Kentucky River Area Development District,21237,0,,,,,,,,,
Adair,KY11,KY,11,0,Lake Cumberland Area Development District,21001,0,,,,,,,,,
Casey,KY11,KY,11,0,Lake Cumberland Area Development District,21045,0,,,,,,,,,
Clinton,KY11,KY,11,0,Lake Cumberland Area Development District,21053,0,,,,,,,,,
Cumberland,KY11,KY,11,0,Lake Cumberland Area Development District,21057,0,,,,,,,,,
Green,KY11,KY,11,0,Lake Cumberland Area Development District,21087,0,,,,,,,,,
McCreary,KY11,KY,11,0,Lake Cumberland Area Development District,21147,0,,,,,,,,,
Pulaski,KY11,KY,11,0,Lake Cumberland Area Development District,21199,0,,,,,,,,,
Russell,KY11,KY,11,0,Lake Cumberland Area Development District,21207,0,,,,,,,,,
Taylor,KY11,KY,11,0,Lake Cumberland Area Development District,21217,0,,,,,,,,,
Wayne,KY11,KY,11,0,Lake Cumberland Area Development District,21231,0,,,,,,,,,
Breckinridge,KY12,KY,12,0,Lincoln Trail Area Development District,21027,0,,,,,,,,,
Grayson,KY12,KY,12,0,Lincoln Trail Area Development District,21085,0,,,,,,,,,
Hardin,KY12,KY,12,0,Lincoln Trail Area Development District,21093,0,,,,,,,,,
LaRue,KY12,KY,12,0,Lincoln Trail Area Development District,21123,0,,,,,,,,,
Marion,KY12,KY,12,0,Lincoln Trail Area Development District,21155,0,,,,,,,,,
Meade,KY12,KY,12,0,Lincoln Trail Area Development District,21163,0,,,,,,,,,
Nelson,KY12,KY,12,0,Lincoln Trail Area Development District,21179,0,,,,,,,,,
Washington,KY12,KY,12,0,Lincoln Trail Area Development District,21229,0,,,,,,,,,
Caldwell,KY13,KY,13,0,Pennyrile Area Development District,21033,0,,,,,,,,,
Christian,KY13,KY,13,0,Pennyrile Area Development District,21047,0,,,,,,,,,
Crittenden,KY13,KY,13,0,Pennyrile Area Development District,21055,0,,,,,,,,,
Hopkins,KY13,KY,13,0,Pennyrile Area Development District,21107,0,,,,,,,,,
Livingston,KY13,KY,13,0,Pennyrile Area Development District,21139,0,,,,,,,,,
Lyon,KY13,KY,13,0,Pennyrile Area Development District,21143,0,,,,,,,,,
Muhlenberg,KY13,KY,13,0,Pennyrile Area Development District,21177,0,,,,,,,,,
Todd,KY13,KY,13,0,Pennyrile Area Development District,21219,0,,,,,,,,,
Trigg,KY13,KY,13,0,Pennyrile Area Development District,21221,0,,,,,,,,,
Ballard,KY14,KY,14,0,Purchase Area Development District,21007,0,,,,,,,,,
Calloway,KY14,KY,14,0,Purchase Area Development District,21035,0,,,,,,,,,
Carlisle,KY14,KY,14,0,Purchase Area Development District,21039,0,,,,,,,,,
Fulton,KY14,KY,14,0,Purchase Area Development District,21075,0,,,,,,,,,
Graves,KY14,KY,14,0,Purchase Area Development District,21083,0,,,,,,,,,
Hickman,KY14,KY,14,0,Purchase Area Development District,21105,0,,,,,,,,,
McCracken,KY14,KY,14,0,Purchase Area Development District,21145,0,,,,,,,,,
Marshall,KY14,KY,14,0,Purchase Area Development District,21157,0,,,,,,,,,
Carroll,KY15,KY,15,0,Northern Kentucky Area Development District,21041,0,,,,,,,,,
Floyd,KY15,KY,15,0,Northern Kentucky Area Development District,21071,0,,,,,,,,,
Gallatin,KY15,KY,15,0,Northern Kentucky Area Development District,21077,0,,,,,,,,,
Grant,KY15,KY,15,0,Northern Kentucky Area Development District,21081,0,,,,,,,,,
Owen,KY15,KY,15,0,Northern Kentucky Area Development District,21187,0,,,,,,,,,
Pendleton,KY15,KY,15,0,Northern Kentucky Area Development District,21191,0,,,,,,,,,
Ascension Parish,LA01,LA,01,0,Capital Region Planning Commission,22005,0,,,,,,,,,
East Baton Rouge Parish,LA01,LA,01,0,Capital Region Planning Commission,22033,0,,,,,,,,,
East Feliciana Parish,LA01,LA,01,0,Capital Region Planning Commission,22037,0,,,,,,,,,
Iberville Parish,LA01,LA,01,0,Capital Region Planning Commission,22047,0,,,,,,,,,
Livingston Parish,LA01,LA,01,0,Capital Region Planning Commission,22063,0,,,,,,,,,
Pointe Coupee Parish,LA01,LA,01,0,Capital Region Planning Commission,22077,0,,,,,,,,,
St. Helena Parish,LA01,LA,01,0,Capital Region Planning Commission,22091,0,,,,,,,,,
Washington Parish,LA01,LA,01,0,Capital Region Planning Commission,22117,0,,,,,,,,,
West Baton Rouge Parish,LA01,LA,01,0,Capital Region Planning Commission,22121,0,,,,,,,,,
West Feliciana Parish,LA01,LA,01,0,Capital Region Planning Commission,22125,0,,,,,,,,,
Jefferson Parish,LA02,LA,02,0,New Orleans Regional Planning Commission,22051,0,,,,,,,,,
Orleans Parish,LA02,LA,02,0,New Orleans Regional Planning Commission,22071,0,,,,,,,,,
Plaquemines Parish,LA02,LA,02,0,New Orleans Regional Planning Commission,22075,0,,,,,,,,,
St. Bernard Parish,LA02,LA,02,0,New Orleans Regional Planning Commission,22087,0,,,,,,,,,
St. Tammany Parish,LA02,LA,02,0,New Orleans Regional Planning Commission,22103,0,,,,,,,,,
Assumption Parish,LA03,LA,03,0,South Central Planning and Development Commission,22007,0,,,,,,,,,
Lafourche Parish,LA03,LA,03,0,South Central Planning and Development Commission,22057,0,,,,,,,,,
St. James Parish,LA03,LA,03,0,South Central Planning and Development Commission,22093,0,,,,,,,,,
St. Mary Parish,LA03,LA,03,0,South Central Planning and Development Commission,22101,0,,,,,,,,,
Terrebonne Parish,LA03,LA,03,0,South Central Planning and Development Commission,22109,0,,,,,,,,,
Acadia Parish,LA04,LA,04,0,Acadiana Planning Commission,22001,0,,,,,,,,,
Evangeline Parish,LA04,LA,04,0,Acadiana Planning Commission,22039,0,,,,,,,,,
Iberia Parish,LA04,LA,04,0,Acadiana Planning Commission,22045,0,,,,,,,,,
Lafayette Parish,LA04,LA,04,0,Acadiana Planning Commission,22055,0,,,,,,,,,
St. Landry Parish,LA04,LA,04,0,Acadiana Planning Commission,22097,0,,,,,,,,,
St. Martin Parish,LA04,LA,04,0,Acadiana Planning Commission,22099,0,,,,,,,,,
Vermilion Parish,LA04,LA,04,0,Acadiana Planning Commission,22113,0,,,,,,,,,
Calcasieu Parish,LA05,LA,05,0,Imperial Calcasieu Regional Planning & Development Commission,22019,0,,,,,,,,,
Allen Parish,LA05,LA,05,0,Imperial Calcasieu Regional Planning and Development District,22003,0,,,,,,,,,
Beauregard Parish,LA05,LA,05,0,Imperial Calcasieu Regional Planning and Development District,22011,0,,,,,,,,,
Cameron Parish,LA05,LA,05,0,Imperial Calcasieu Regional Planning and Development District,22023,0,,,,,,,,,
Jefferson Davis Parish,LA05,LA,05,0,Imperial Calcasieu Regional Planning and Development District,22053,0,,,,,,,,,
